id,year,azithromycin_mic_sign,cefixime_SIR,ceftriaxone_SIR,ciprofloxacin_SIR,private_record,private_owner
155447,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155448,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155449,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155450,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155451,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155452,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155453,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155454,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155455,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155456,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155457,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155458,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155459,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155460,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155461,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155462,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155463,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155464,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155465,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155466,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155467,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155468,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155469,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155470,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
155471,2017,,,,,true,"Odile Harrison, University of Oxford, UK"
