id,isolate,region,year,NEIS0408(pilQ),NEIS0414,NEIS1753(PenA),NEIS2020(porB),NEIS2357
131302,15MUS-AH101,Gauteng Province,2015,251,13,294,878,0
131303,15MUS-AH103,Gauteng Province,2015,251,13,228,,3
131304,15MUS-AH106,Gauteng Province,2015,621,13,23,4329,0
131305,15MUS-AH108,Gauteng Province,2015,251,13,228,763,3
131306,15MUS-AH112,Gauteng Province,2015,333,13,285,826,3
131307,15MUS-AH113,Gauteng Province,2015,2759,8,294,,0
131308,15MUS-AH117,Gauteng Province,2015,251,13,285,878,0
131309,15MUS-AH119,Gauteng Province,2015,619,8,294,,0
131310,15MUS-AH121,Gauteng Province,2015,251,8,228,669,0
131311,15MUS-AH122,Gauteng Province,2015,621,8,23,,0
131312,15MUS-AH130,Gauteng Province,2015,,13,228,,3
131313,15MUS-AH131,Gauteng Province,2015,2759,8,17,6295,0
131314,15MUS-AH133,Gauteng Province,2015,621,13,23,763,2
131315,15MUS-AH135,Gauteng Province,2015,621,13,23,4325,0
131316,15MUS-AH138,Gauteng Province,2015,251,13,228,,3
131317,15MUS-AH140,Gauteng Province,2015,251,13,228,,3
131318,15MUS-AH143,Gauteng Province,2015,251,13,228,,
131319,15MUS-AH146,Gauteng Province,2015,251,13,228,,0
131320,15MUS-AH148,Gauteng Province,2015,251,13,228,,3
131321,15MUS-AH149,Gauteng Province,2015,619,,294,,0
131322,15MUS-AH150,Gauteng Province,2015,,,23,,0
131323,15MUS-AH152,Gauteng Province,2015,251,13,228,,
131324,15MUS-AH153,Gauteng Province,2015,251,13,285,,3
131325,15MUS-AH154,Gauteng Province,2015,251,13,228,,3
131326,15MUS-AH160,Gauteng Province,2015,621,13,294,,2
131327,15MUS-AH165,Gauteng Province,2015,251,13,228,,3
131328,15MUS-AH166,Gauteng Province,2015,251,13,294,,3
131329,16MUS-AH007,Gauteng Province,2016,251,13,228,,3
131330,16MUS-AH009,Gauteng Province,2016,251,13,294,,0
131331,16MUS-AH010,Gauteng Province,2016,613,8,228,6282,80
131332,16MUS-AH011,Gauteng Province,2016,621,13,294,,0
131333,16MUS-AH012,Gauteng Province,2016,621,13,23,,2
131334,16MUS-AH017,Gauteng Province,2016,251,13,228,878,3
131335,16MUS-AH019,Gauteng Province,2016,333,13,285,826,
131336,16MUS-AH023,Gauteng Province,2016,2759,8,285,,3
131337,16MUS-AH026,Gauteng Province,2016,251,13,228,,
131338,16MUS-AH029,Gauteng Province,2016,,13,228,,3
131339,16MUS-AH030,Gauteng Province,2016,333,13,285,,3
131340,16MUS-AH034,Gauteng Province,2016,251,13,294,6298,0
131341,16MUS-AH057,Gauteng Province,2016,251,13,228,,3
131342,16MUS-AH060,Gauteng Province,2016,251,13,228,,0
131343,16MUS-AH062,Gauteng Province,2016,251,13,228,,3
131344,16MUS-AH063,Gauteng Province,2016,251,13,23,878,0
131345,16MUS-AH064,Gauteng Province,2016,621,13,294,,0
131346,16MUS-AH067,Gauteng Province,2016,333,13,285,6279,
131347,16MUS-AH068,Gauteng Province,2016,251,13,228,,3
131348,16MUS-aH070,Gauteng Province,2016,621,13,23,,0
131349,16MUS-AH082,Gauteng Province,2016,621,13,23,5355,2
131350,16MUS-AH085,Gauteng Province,2016,251,13,228,,3
131351,16MUS-AH087,Gauteng Province,2016,621,8,23,4325,0
131352,16MUS-AH088,Gauteng Province,2016,333,13,285,5276,3
131353,16MUS-AH089,Gauteng Province,2016,251,13,228,,3
131354,16MUS-AH091,Gauteng Province,2016,621,13,23,,2
131355,16MUS-AH093,Gauteng Province,2016,251,13,228,,3
131356,16MUS-AH094,Gauteng Province,2016,,8,3249,763,0
131357,16MUS-AH097,Gauteng Province,2016,251,13,228,,3
131358,16MUS-AH100,Gauteng Province,2016,251,13,228,,
131359,16MUS-AH101,Gauteng Province,2016,623,8,23,,0
131360,16MUS-AH109,Gauteng Province,2016,251,13,228,,3
131361,16MUS-AH113,Gauteng Province,2016,251,13,228,,
131362,16MUS-AH116,Gauteng Province,2016,,13,285,5273,3
131363,16MUS-AH118,Gauteng Province,2016,251,13,228,,3
131364,16MUS-AH119,Gauteng Province,2016,251,13,228,,3
131365,16MUS-AH121,Gauteng Province,2016,19,1381,294,,0
131366,16MUS-AH124,Gauteng Province,2016,251,13,228,,3
131367,16MUS-AH126,Gauteng Province,2016,251,13,228,,3
131368,16MUS-AH131,Gauteng Province,2016,251,13,228,,0
131369,16MUS-AH140,Gauteng Province,2016,251,13,285,,
131370,16MUS-AH142,Gauteng Province,2016,621,13,23,,2
131371,16MUS-AH146,Gauteng Province,2016,2759,8,294,878,0
131372,16MUS-AH147,Gauteng Province,2016,251,13,228,6298,3
131373,16MUS-AH152,Gauteng Province,2016,621,13,23,,0
131374,17MUS-AH002,Gauteng Province,2017,621,13,23,4329,2
131375,17MUS-AH004,Gauteng Province,2017,333,13,285,5273,3
131376,17MUS-AH007,Gauteng Province,2017,251,13,228,3131,3
131377,17MUS-AH009,Gauteng Province,2017,621,13,23,763,2
131378,17MUS-AH011,Gauteng Province,2017,623,8,3250,,3
131379,17MUS-AH012,Gauteng Province,2017,251,13,228,,3
131380,17MUS-AH014,Gauteng Province,2017,251,13,228,,3
131381,17MUS-AH015,Gauteng Province,2017,251,13,228,878,
131382,17MUS-AH018,Gauteng Province,2017,251,13,228,,
138787,7092,,2022,,,,,
139453,7316,,2023,,,,,
139454,8374,,2023,,,,,
139455,8486,,2023,,,,,
139860,5232,,2023,,,,,
139861,7493,,2023,,,,,
139862,5412,,2023,,,,,
140559,17MUS_AH099_S94,Gauteng,2017,,13,285,,3
