id,isolate,country,year,azithromycin_mic,23S_rRNA,NEIS0133,NEIS1633,NEIS1634,NEIS1635,pro_NEIS1635,private_record,private_owner
12765,NG0111,Japan,2001,,,,,,,,false,
12766,MG9511,Japan,1995,,,,,,,,false,
13670,NGON 07-028,Japan,2007,,,,,,,,false,
13671,NGON 07-037,Japan,2007,,,,,,,,false,
13672,NGON 00-102,Japan,2000,,,,,,,,false,
13673,NG0016,Japan,2000,,,,,,,,false,
13674,NGON 03-086,Japan,2003,,,,,,,,false,
13675,NGON 08-003,Japan,2008,,,,,,,,false,
13676,NGON 02-079,Japan,2002,,,,,,,,false,
13677,NGON 03-100,Japan,2003,,,,,,,,false,
13678,NGON 00-013,Japan,2000,,,,,,,,false,
13679,NGON 07-004,Japan,2007,,,,,,,,false,
13680,NGON 00-040,Japan,2000,,,,,,,,false,
13681,NGON 03-024,Japan,2003,,,,,,,,false,
13682,NG0N 04-085,Japan,2004,,,,,,,,false,
13685,NCCP11945,South Korea,2005,,11,102,16,11,13,3,false,
13686,NGON 07-012,Japan,2007,,,,,,,,false,
13687,NGON 00-019,Japan,2000,,,,,,,,false,
14729,MS-11,USA,1960,,,102,18,15,18,6,false,
14764,A2460,Greece,2005,,,,,,,,false,
14766,A2564,Greece,2005,,,,,,,,false,
14767,T3530,Greece,2007,,,,,,,,false,
14770,A2582,Greece,2005,,,,,,,,false,
14772,A2350,Greece,2004,,,,,,,,false,
14774,A2592,Greece,2005,,,,,,,,false,
14779,A2432,Greece,2004,,,,,,,,false,
14780,A2354,Greece,2004,,,,,,,,false,
14783,A2356,Greece,2004,,,,,,,,false,
14784,A2394,Greece,2004,,,,,,,,false,
14786,A2463,Greece,2005,,,,,,,,false,
14787,A2480,Greece,2005,,,,,,,,false,
14788,T1695,Greece,2000,,,,,,,,false,
14789,A2329,Greece,2004,,,,,,,,false,
14791,A2345,Greece,2004,,,,,,,,false,
14792,A2407,Greece,2004,,,,,,,,false,
14793,A2527,Greece,2005,,,,,,,,false,
14794,A2448,Greece,2004,,,,,,,,false,
14796,A2461,Greece,2005,,,,,,,,false,
14797,A2503,Greece,2005,,,,,,,,false,
14799,T3937,Greece,2005,,,,,,,,false,
14800,A2580,Greece,2005,,,,,,,,false,
14801,T1650,Greece,2004,,,,,,,,false,
14802,T2329,Greece,2004,,,,,,,,false,
14803,A2340,Greece,2004,,,,,,,,false,
14804,A2709,Greece,2006,,,,,,,,false,
14805,A2771,Greece,2007,,,,,,,,false,
14806,A2815,Greece,2007,,,,,,,,false,
14807,A2296,Greece,2003,,,,,,,,false,
14808,A2414,Greece,2004,,,,,,,,false,
14809,A2552,Greece,2005,,,,,,,,false,
14811,A2835,Greece,2007,,,,,,,,false,
14812,A2544,Greece,2005,,,,,,,,false,
14813,A2550,Greece,2005,,,,,,,,false,
14815,A2869,Greece,2007,,,,,,,,false,
