id,country,year,azithromycin_mic_sign,cefixime_SIR,ceftriaxone_SIR,ciprofloxacin_SIR
131231,South Africa,2014,=,S,S,R
131232,South Africa,2014,=,S,S,S
131233,South Africa,2014,=,S,S,S
131234,South Africa,2014,=,S,S,R
131235,South Africa,2014,,S,S,S
131236,South Africa,2014,=,S,S,R
131237,South Africa,2014,=,S,S,R
131238,South Africa,2014,=,S,S,R
131239,South Africa,2014,=,S,S,R
131240,South Africa,2014,=,S,S,R
131241,South Africa,2014,=,S,S,R
131242,South Africa,2014,=,S,S,R
131243,South Africa,2014,=,S,S,R
131244,South Africa,2014,=,S,S,R
131245,South Africa,2014,=,S,S,R
131246,South Africa,2014,=,S,S,R
131247,South Africa,2014,,S,S,R
131248,South Africa,2014,=,S,S,R
131249,South Africa,2014,,S,S,R
131250,South Africa,2014,,S,S,R
131251,South Africa,2014,,S,S,R
131252,South Africa,2014,,S,S,R
131253,South Africa,2014,,S,S,R
131254,South Africa,2014,,S,S,R
131255,South Africa,2014,,S,S,R
131256,South Africa,2014,,S,S,R
131257,South Africa,2014,=,S,S,R
131258,South Africa,2014,=,S,S,R
131259,South Africa,2014,,S,S,R
131260,South Africa,2014,,S,S,R
131261,South Africa,2014,,S,S,R
131262,South Africa,2014,,S,S,R
131263,South Africa,2014,,S,S,R
131264,South Africa,2014,,S,S,R
131265,South Africa,2014,,S,S,R
131266,South Africa,2014,,S,S,R
131267,South Africa,2014,,S,S,R
131268,South Africa,2014,,S,S,R
131269,South Africa,2014,,S,S,R
131270,South Africa,2014,,S,S,R
131271,South Africa,2014,,S,S,R
131272,South Africa,2014,,S,S,R
131273,South Africa,2014,,S,S,R
131274,South Africa,2015,=,S,S,R
131275,South Africa,2015,=,S,S,S
131276,South Africa,2015,=,S,S,R
131277,South Africa,2015,=,S,S,R
131278,South Africa,2015,=,S,S,R
131279,South Africa,2015,=,S,S,R
131280,South Africa,2015,=,S,S,R
131281,South Africa,2015,=,S,S,R
131282,South Africa,2015,=,S,S,S
131283,South Africa,2015,=,S,S,R
131284,South Africa,2015,=,S,S,R
131285,South Africa,2015,=,S,S,R
131286,South Africa,2015,=,S,S,S
131287,South Africa,2015,=,S,S,R
131288,South Africa,2015,=,S,S,S
131289,South Africa,2015,=,S,S,S
131290,South Africa,2015,=,S,S,R
131291,South Africa,2015,=,S,S,R
131292,South Africa,2015,=,S,S,S
131293,South Africa,2015,=,S,S,R
131294,South Africa,2015,=,S,S,R
131295,South Africa,2015,=,S,S,S
131296,South Africa,2015,=,S,S,R
131297,South Africa,2015,=,S,S,R
131298,South Africa,2015,=,S,S,R
131299,South Africa,2015,=,S,S,R
131300,South Africa,2015,=,S,S,S
131301,South Africa,2015,=,S,S,S
131302,South Africa,2015,=,S,S,R
131303,South Africa,2015,=,S,S,R
131304,South Africa,2015,=,S,S,R
131305,South Africa,2015,=,S,S,R
131306,South Africa,2015,=,S,S,R
131307,South Africa,2015,=,S,S,S
131308,South Africa,2015,,S,S,
131309,South Africa,2015,,S,S,
131310,South Africa,2015,,S,S,
131311,South Africa,2015,,S,S,
131312,South Africa,2015,=,S,S,R
131313,South Africa,2015,=,S,S,R
131314,South Africa,2015,=,S,S,R
131315,South Africa,2015,=,S,S,R
131316,South Africa,2015,=,S,S,R
131317,South Africa,2015,=,S,S,R
131318,South Africa,2015,=,S,S,R
131319,South Africa,2015,=,S,S,R
131320,South Africa,2015,=,S,S,R
131321,South Africa,2015,=,S,S,R
131322,South Africa,2015,=,S,S,R
131323,South Africa,2015,=,S,S,R
131324,South Africa,2015,=,S,S,R
