,index,ID,LIN,Lineage,country,isolate,year,mydata,SA
110,111,39084,0_0_47_10_1_0_0_0_0_0_0,0_0_47,Kenya,64605,2014.0,N,N
111,112,39085,0_16_0_1_11_0_0_0_0_0_0,0_16_0,Kenya,64680,2014.0,N,N
112,113,39086,0_16_4_0_8_0_0_0_0_0_0,0_16_4,Kenya,64586,2014.0,N,N
113,114,39087,0_0_47_5_12_0_0_1_0_0_0,0_0_47,Kenya,64361,2014.0,N,N
114,115,39088,0_16_4_0_1_0_0_0_0_0_0,0_16_4,Kenya,64755,2014.0,N,N
115,116,39089,0_16_4_0_3_0_0_0_0_0_0,0_16_4,Kenya,64203,2014.0,N,N
116,117,39090,0_0_47_5_0_1_0_0_0_0_0,0_0_47,Kenya,65080,2014.0,N,N
117,118,39091,0_0_47_10_1_0_0_0_0_0_0,0_0_47,Kenya,65318,2014.0,N,N
118,119,39092,0_16_4_0_6_0_0_0_0_0_0,0_16_4,Kenya,65320,2014.0,N,N
119,120,39093,0_0_47_5_12_0_0_0_0_0_0,0_0_47,Kenya,65551,2014.0,N,N
120,121,39094,1_1_34_0_0_0_0_0_0_0_0,1_1_34,Kenya,65600,2014.0,N,N
121,122,39095,0_16_4_0_2_0_0_0_0_0_0,0_16_4,Kenya,65737,2014.0,N,N
122,123,39096,0_0_47_5_6_0_0_0_0_0_0,0_0_47,Kenya,56474,2012.0,N,N
123,124,39097,0_0_33_45_1_0_0_0_0_0_0,0_0_33,Kenya,56327,2012.0,N,N
124,125,39098,1_1_29_0_1_0_0_0_0_0_0,1_1_29,Kenya,56682,2012.0,N,N
125,126,39099,0_16_0_1_2_0_0_0_0_0_0,0_16_0,Kenya,56835,2012.0,N,N
126,127,39100,0_0_47_5_6_0_0_0_0_1_0,0_0_47,Kenya,57568,2012.0,N,N
127,128,39101,,,Kenya,63971,2013.0,N,N
128,129,39102,,,Kenya,63748,2013.0,N,N
129,130,39103,0_16_0_2_2_1_0_0_0_2_0,0_16_0,Kenya,45858,2010.0,N,N
130,131,39104,0_18_6_1_0_0_0_0_0_0_0,0_18_6,Kenya,45722,2010.0,N,N
131,132,39105,0_18_6_1_1_0_0_0_0_0_0,0_18_6,Kenya,44941,2010.0,N,N
132,133,39106,0_16_1_0_0_0_0_0_0_0_0,0_16_1,Kenya,45388,2010.0,N,N
133,134,39107,0_16_0_1_0_2_0_0_0_0_0,0_16_0,Kenya,45715,2010.0,N,N
134,135,39108,0_16_0_2_2_1_0_0_0_0_0,0_16_0,Kenya,45910,2010.0,N,N
135,136,39109,0_0_47_9_0_1_0_0_0_0_0,0_0_47,Kenya,43208 -1,2010.0,N,N
136,137,39110,0_0_47_9_0_1_0_0_0_0_0,0_0_47,Kenya,43208 -2,2010.0,N,N
137,138,39111,0_0_47_5_7_0_0_0_0_0_0,0_0_47,Kenya,43210,2010.0,N,N
138,139,39112,0_0_47_5_9_0_0_0_0_0_0,0_0_47,Kenya,44271,2010.0,N,N
139,140,39113,0_16_0_1_1_0_0_0_0_0_0,0_16_0,Kenya,42876,2010.0,N,N
140,141,39114,0_0_47_5_7_0_0_0_0_1_0,0_0_47,Kenya,44254,2010.0,N,N
141,142,39115,0_0_47_5_10_0_0_0_0_0_0,0_0_47,Kenya,43306,2010.0,N,N
142,143,39116,0_16_0_2_6_0_0_0_0_0_0,0_16_0,Kenya,46745,2011.0,N,N
143,144,39117,0_16_0_2_2_1_0_0_0_3_0,0_16_0,Kenya,47244,2011.0,N,N
144,145,39118,0_18_6_1_0_0_0_0_0_1_0,0_18_6,Kenya,47954,2011.0,N,N
145,146,39119,0_2_42_0_0_0_0_0_0_0_0,0_2_42,Kenya,47547,2011.0,N,N
146,147,39120,0_16_0_2_3_0_0_0_0_0_0,0_16_0,Kenya,47548,2011.0,N,N
147,148,39121,0_16_1_1_0_0_0_0_0_0_0,0_16_1,Kenya,48183,2011.0,N,N
148,149,39122,0_0_47_15_0_0_0_0_0_0_0,0_0_47,Kenya,48763,2011.0,N,N
149,150,39123,1_1_29_0_0_0_0_0_0_0_0,1_1_29,Kenya,48437,2011.0,N,N
150,151,39124,0_18_6_1_0_0_0_0_0_1_0,0_18_6,Kenya,48563,2011.0,N,N
151,152,39125,0_18_6_1_0_0_0_0_0_2_0,0_18_6,Kenya,48848,2011.0,N,N
152,153,39126,0_16_0_1_8_0_0_0_0_0_0,0_16_0,Kenya,48213,2011.0,N,N
153,154,39127,0_18_6_1_0_0_0_0_0_1_0,0_18_6,Kenya,48502,2011.0,N,N
154,155,39128,1_1_11_1_0_0_0_0_0_0_0,1_1_11,Kenya,48406,2011.0,N,N
155,156,39129,1_1_11_1_0_0_0_0_0_0_0,1_1_11,Kenya,50040,2011.0,N,N
156,157,39130,0_16_0_1_4_1_0_0_0_0_0,0_16_0,Kenya,49506,2011.0,N,N
157,158,39131,1_1_11_1_0_0_0_0_0_1_0,1_1_11,Kenya,49676,2011.0,N,N
158,159,39132,0_16_0_2_2_1_0_0_1_0_0,0_16_0,Kenya,49719,2011.0,N,N
159,160,39133,1_1_12_0_0_0_0_0_0_0_0,1_1_12,Kenya,50869,2011.0,N,N
160,161,39134,0_16_0_1_5_0_0_0_0_0_0,0_16_0,Kenya,51751,2011.0,N,N
161,162,39135,0_16_0_6_0_0_0_0_0_0_0,0_16_0,Kenya,52057,2012.0,N,N
162,163,39136,,,Kenya,52441,2012.0,N,N
163,164,39137,16_0_0_0_0_0_0_0_0_0_0,16_0_0,Kenya,65907,2015.0,N,N
164,165,39138,0_16_4_0_9_0_0_0_0_0_0,0_16_4,Kenya,66098,2015.0,N,N
165,166,39139,0_16_0_2_2_0_0_0_0_0_0,0_16_0,Kenya,42978,2010.0,N,N
166,167,59511,,,Kenya,KNY_NGAMR/9,2016.0,N,N
167,168,60436,11_0_2_1_0_0_0_0_0_0_0,11_0_2,Kenya,KNY_NGAMR/1,2014.0,N,N
168,169,60437,0_2_55_2_0_0_0_0_0_0_0,0_2_55,Kenya,KNY_NGAMR9p,2016.0,N,N
169,170,60439,,,Kenya,KNY_NGAMR26,2016.0,N,N
170,171,60440,,,Kenya,KNY_NGAMR27,2016.0,N,N
171,172,60441,0_0_33_56_0_0_0_0_0_0_0,0_0_33,Kenya,KNY_NGAMR30p,2017.0,N,N
172,173,60442,1_1_34_0_2_0_0_0_0_0_0,1_1_34,Kenya,KNY_NGAMR33,2016.0,N,N
173,174,60501,4_0_1_0_0_0_0_0_0_0_0,4_0_1,Kenya,KNY_NGAMR2,2014.0,N,N
174,175,60502,0_16_0_1_10_0_0_0_0_0_0,0_16_0,Kenya,KNY_NGAMR3,2014.0,N,N
175,176,60503,0_0_36_0_0_0_0_0_0_0_0,0_0_36,Kenya,KNY_NGAMR4,2016.0,N,N
176,177,60504,0_0_47_10_0_0_0_0_0_0_0,0_0_47,Kenya,KNY_NGAMR5,2015.0,N,N
177,178,60505,0_2_55_0_1_0_0_0_0_0_0,0_2_55,Kenya,KNY_NGAMR6,2015.0,N,N
178,179,60506,0_16_4_0_0_0_0_0_0_0_0,0_16_4,Kenya,KNY_NGAMR7,2015.0,N,N
179,180,60507,0_0_33_46_1_0_0_0_0_0_0,0_0_33,Kenya,KNY_NGAMR8,2015.0,N,N
180,181,60508,0_9_0_5_3_0_0_0_0_0_0,0_9_0,Kenya,KNY_NGAMR10,2016.0,N,N
181,182,60509,0_0_33_46_2_0_0_0_0_0_0,0_0_33,Kenya,KNY_NGAMR11,2016.0,N,N
182,183,60510,0_0_33_55_0_0_0_0_0_0_0,0_0_33,Kenya,KNY_NGAMR23,2014.0,N,N
183,184,60511,,,Kenya,KNY_NGAMR14,2013.0,N,N
184,185,60512,0_0_33_55_0_0_0_0_0_0_0,0_0_33,Kenya,KNY_NGAMR20,2014.0,N,N
185,186,60513,0_16_4_0_11_0_0_0_0_0_0,0_16_4,Kenya,KNY_NGAMR17,2016.0,N,N
186,187,60514,0_0_36_2_0_0_0_0_0_0_0,0_0_36,Kenya,KNY_NGAMR18,2014.0,N,N
187,188,60515,0_16_0_4_0_0_0_0_0_0_0,0_16_0,Kenya,KNY_NGAMR19,2015.0,N,N
188,189,60516,0_0_33_46_5_0_0_0_0_0_0,0_0_33,Kenya,KNY_NGAMR15,2016.0,N,N
189,190,60517,0_0_33_54_0_0_0_0_0_0_0,0_0_33,Kenya,KNY_NGAMR21,2015.0,N,N
190,191,60518,,,Kenya,KNY_NGAMR22,2015.0,N,N
191,192,60519,0_0_33_46_0_0_0_0_0_0_0,0_0_33,Kenya,KNY_NGAMR13,2016.0,N,N
192,193,60520,,,Kenya,KNY_NGAMR24,2014.0,N,N
193,194,60521,,,Kenya,KNY_NGAMR28,2017.0,N,N
194,195,60522,1_1_34_1_1_0_0_0_0_0_0,1_1_34,Kenya,KNY_NGAMR29,2017.0,N,N
195,196,60523,0_9_0_6_0_0_0_0_0_0_0,0_9_0,Kenya,KNY_NGAMR31,2017.0,N,N
196,197,60524,0_0_33_50_0_0_0_0_0_0_0,0_0_33,Kenya,KNY_NGAMR32,2017.0,N,N
197,198,60525,0_9_0_5_23_1_0_0_0_0_0,0_9_0,Kenya,KNY_NGAMR35,2013.0,N,N
198,199,60526,,,Kenya,KNY_NGAMR41,2018.0,N,N
199,200,60527,,,Kenya,KNY_NGAMR42,2018.0,N,N
200,201,60528,,,Kenya,KNY_NGAMR50,2018.0,N,N
201,202,60530,1_1_34_1_0_0_0_0_0_0_0,1_1_34,Kenya,KNY_NGAMR53,2018.0,N,N
202,203,60531,0_0_36_4_0_0_0_0_0_0_0,0_0_36,Kenya,KNY_NGAMR54,2018.0,N,N
203,204,61382,1_1_17_26_0_0_0_0_0_0_0,1_1_17,Ivory Coast,IC_CNR077,2012.0,N,N
204,205,61383,1_1_17_7_0_0_0_0_0_0_0,1_1_17,Ivory Coast,IC_15039,2012.0,N,N
205,206,95771,0_0_18_7_0_1_0_0_0_0_0,0_0_18,Ghana,GHA-ADB-055,2014.0,N,N
