MtrD,species,label
4400,#FF2600,N.gonorrhoeae
4396,#FF2600,N.gonorrhoeae
377,#FF2600,N.gonorrhoeae
2369,#FF2600,N.gonorrhoeae
376,#FF2600,N.gonorrhoeae
3442,#FF2600,N.gonorrhoeae
665,#FF2600,N.gonorrhoeae
3958,#FF2600,N.gonorrhoeae
2529,#FF2600,N.gonorrhoeae
3891,#FF2600,N.gonorrhoeae
369,#FF2600,N.gonorrhoeae
4410,#FF2600,N.gonorrhoeae
2284,#FF2600,N.gonorrhoeae
5712,#FF2600,N.gonorrhoeae
3923,#FF2600,N.gonorrhoeae
2399,#FF2600,N.gonorrhoeae
1552,#FF2600,N.gonorrhoeae
1887,#FF2600,N.gonorrhoeae
1725,#FF2600,N.gonorrhoeae
1558,#FF2600,N.gonorrhoeae
1548,#FF2600,N.gonorrhoeae
2013,#FF2600,N.gonorrhoeae
841,#FF2600,N.gonorrhoeae
2381,#FF2600,N.gonorrhoeae
4331,#FF2600,N.gonorrhoeae
746,#FF2600,N.gonorrhoeae
3960,#FF2600,N.gonorrhoeae
3847,#FF2600,N.gonorrhoeae
3778,#FF2600,N.gonorrhoeae
5007,#FF2600,N.gonorrhoeae
2237,#FF2600,N.gonorrhoeae
3355,#FF2600,N.gonorrhoeae
2371,#FF2600,N.gonorrhoeae
3968,#FF2600,N.gonorrhoeae
2374,#FF2600,N.gonorrhoeae
852,#FF2600,N.gonorrhoeae
425,#0432FF,N.meningitidis
2228,#0432FF,N.meningitidis
1092,#0432FF,N.meningitidis
202,#0432FF,N.meningitidis
4321,#0432FF,N.meningitidis
143,#0432FF,N.meningitidis
5150,#0432FF,N.meningitidis
156,#0432FF,N.meningitidis
3557,#0432FF,N.meningitidis
2140,#0432FF,N.meningitidis
3876,#0432FF,N.meningitidis
601,#0432FF,N.meningitidis
2162,#0432FF,N.meningitidis
1816,#0432FF,N.meningitidis
4482,#0432FF,N.meningitidis
4274,#0432FF,N.meningitidis
1977,#0432FF,N.meningitidis
3930,#0432FF,N.meningitidis
3831,#0432FF,N.meningitidis
4514,#0432FF,N.meningitidis
3943,#0432FF,N.meningitidis
952,#0432FF,N.meningitidis
275,#0432FF,N.meningitidis
3869,#0432FF,N.meningitidis
3563,#0432FF,N.meningitidis
1869,#0432FF,N.meningitidis
2916,#0432FF,N.meningitidis
5862,#0432FF,N.meningitidis
558,#0432FF,N.meningitidis
4485,#0432FF,N.meningitidis
3536,#0432FF,N.meningitidis
4444,#0432FF,N.meningitidis
3538,#0432FF,N.meningitidis
64,#0432FF,N.meningitidis
4507,#0432FF,N.meningitidis
2926,#0432FF,N.meningitidis
1003,#0432FF,N.meningitidis
4495,#0432FF,N.meningitidis
4674,#0432FF,N.meningitidis
3585,#0432FF,N.meningitidis
2432,#0432FF,N.meningitidis
1847,#0432FF,N.meningitidis
3927,#0432FF,N.meningitidis
877,#0432FF,N.meningitidis
3926,#0432FF,N.meningitidis
9,#0432FF,N.meningitidis
4475,#0432FF,N.meningitidis
2155,#0432FF,N.meningitidis
4344,#0432FF,N.meningitidis
1450,#0432FF,N.meningitidis
4275,#0432FF,N.meningitidis
3609,#0432FF,N.meningitidis
2523,#0432FF,N.meningitidis
4682,#0432FF,N.meningitidis
3545,#0432FF,N.meningitidis
2174,#0432FF,N.meningitidis
1850,#0432FF,N.meningitidis
3873,#0432FF,N.meningitidis
3600,#0432FF,N.meningitidis
5713,#0432FF,N.meningitidis
900,#0432FF,N.meningitidis
5693,#0432FF,N.meningitidis
4506,#0432FF,N.meningitidis
1466,#0432FF,N.meningitidis
2602,#0432FF,N.meningitidis
4111,#0432FF,N.meningitidis
3505,#0432FF,N.meningitidis
1541,#0432FF,N.meningitidis
334,#0432FF,N.meningitidis
419,#0432FF,N.meningitidis
872,#0432FF,N.meningitidis
605,#0432FF,N.meningitidis
2098,#0432FF,N.meningitidis
3631,#0432FF,N.meningitidis
63,#0432FF,N.meningitidis
413,#0432FF,N.meningitidis
1858,#0432FF,N.meningitidis
3596,#0432FF,N.meningitidis
4779,#0432FF,N.meningitidis
3339,#0432FF,N.meningitidis
1950,#0432FF,N.meningitidis
1144,#0432FF,N.meningitidis
1788,#0432FF,N.meningitidis
4483,#0432FF,N.meningitidis
2051,#0432FF,N.meningitidis
5588,#0432FF,N.meningitidis
2869,#0432FF,N.meningitidis
784,#0432FF,N.meningitidis
609,#0432FF,N.meningitidis
1042,#0432FF,N.meningitidis
3520,#0432FF,N.meningitidis
310,#0432FF,N.meningitidis
611,#0432FF,N.meningitidis
383,#0432FF,N.meningitidis
3708,#0432FF,N.meningitidis
2689,#0432FF,N.meningitidis
102,#0432FF,N.meningitidis
4154,#0432FF,N.meningitidis
4106,#0432FF,N.meningitidis
503,#0432FF,N.meningitidis
5839,#0432FF,N.meningitidis
2903,#0432FF,N.meningitidis
1786,#0432FF,N.meningitidis
4443,#0432FF,N.meningitidis
1936,#0432FF,N.meningitidis
4780,#0432FF,N.meningitidis
887,#0432FF,N.meningitidis
396,#0432FF,N.meningitidis
3781,#0432FF,N.meningitidis
2735,#0432FF,N.meningitidis
3465,#0432FF,N.meningitidis
3464,#0432FF,N.meningitidis
1053,#0432FF,N.meningitidis
256,#0432FF,N.meningitidis
282,#0432FF,N.meningitidis
4652,#0432FF,N.meningitidis
2106,#0432FF,N.meningitidis
2194,#0432FF,N.meningitidis
2192,#0432FF,N.meningitidis
4741,#0432FF,N.meningitidis
2058,#0432FF,N.meningitidis
1177,#0432FF,N.meningitidis
3970,#0432FF,N.meningitidis
1630,#0432FF,N.meningitidis
2726,#0432FF,N.meningitidis
790,#0432FF,N.meningitidis
535,#0432FF,N.meningitidis
2157,#0432FF,N.meningitidis
3274,#0432FF,N.meningitidis
5858,#0432FF,N.meningitidis
2727,#0432FF,N.meningitidis
2740,#0432FF,N.meningitidis
2734,#0432FF,N.meningitidis
2719,#0432FF,N.meningitidis
2887,#0432FF,N.meningitidis
1622,#0432FF,N.meningitidis
3597,#0432FF,N.meningitidis
4046,#0432FF,N.meningitidis
5700,#0432FF,N.meningitidis
5111,#0432FF,N.meningitidis
3529,#0432FF,N.meningitidis
2688,#0432FF,N.meningitidis
5577,#0432FF,N.meningitidis
35,#0432FF,N.meningitidis
5033,#0432FF,N.meningitidis
693,#0432FF,N.meningitidis
1829,#0432FF,N.meningitidis
116,#0432FF,N.meningitidis
2742,#0432FF,N.meningitidis
2252,#0432FF,N.meningitidis
2087,#0432FF,N.meningitidis
2293,#0432FF,N.meningitidis
79,#0432FF,N.meningitidis
1000,#0432FF,N.meningitidis
61,#0432FF,N.meningitidis
804,#0432FF,N.meningitidis
2099,#0432FF,N.meningitidis
2858,#0432FF,N.meningitidis
536,#0432FF,N.meningitidis
521,#0432FF,N.meningitidis
620,#0432FF,N.meningitidis
579,#0432FF,N.meningitidis
420,#0432FF,N.meningitidis
293,#0432FF,N.meningitidis
1064,#0432FF,N.meningitidis
578,#0432FF,N.meningitidis
1383,#0432FF,N.meningitidis
215,#0432FF,N.meningitidis
3567,#0432FF,N.meningitidis
154,#0432FF,N.meningitidis
155,#0432FF,N.meningitidis
951,#0432FF,N.meningitidis
4742,#0432FF,N.meningitidis
2148,#0432FF,N.meningitidis
147,#0432FF,N.meningitidis
2708,#0432FF,N.meningitidis
3461,#0432FF,N.meningitidis
2751,#0432FF,N.meningitidis
2216,#0432FF,N.meningitidis
205,#0432FF,N.meningitidis
3997,#0432FF,N.meningitidis
144,#0432FF,N.meningitidis
2623,#0432FF,N.meningitidis
2911,#0432FF,N.meningitidis
5869,#0432FF,N.meningitidis
1882,#0432FF,N.meningitidis
3942,#0432FF,N.meningitidis
423,#0432FF,N.meningitidis
1870,#0432FF,N.meningitidis
2534,#0432FF,N.meningitidis
1165,#0432FF,N.meningitidis
1487,#0432FF,N.meningitidis
1686,#0432FF,N.meningitidis
4470,#0432FF,N.meningitidis
788,#0432FF,N.meningitidis
2603,#0432FF,N.meningitidis
152,#0432FF,N.meningitidis
5151,#0432FF,N.meningitidis
1633,#0432FF,N.meningitidis
5698,#0432FF,N.meningitidis
972,#0432FF,N.meningitidis
